d,sales,day,date,weekday,wday,month,year,event_label,event_type_1,snap_total,roll_7,roll_28
d_193,26213,193,2011-08-09,Tuesday,4,8,2011,,,3,27725.14285714286,25960.178571428572
d_194,24578,194,2011-08-10,Wednesday,5,8,2011,,,1,27345.285714285714,26000.64285714286
d_195,24708,195,2011-08-11,Thursday,6,8,2011,,,2,27487.428571428572,26045.678571428572
d_196,28544,196,2011-08-12,Friday,7,8,2011,,,2,27766.0,26088.35714285714
d_197,33003,197,2011-08-13,Saturday,1,8,2011,,,1,27915.14285714286,26164.571428571428
d_198,33909,198,2011-08-14,Sunday,2,8,2011,,,1,28187.0,26292.25
d_199,28511,199,2011-08-15,Monday,3,8,2011,,,2,28495.14285714286,26430.535714285714
d_200,25266,200,2011-08-16,Tuesday,4,8,2011,,,0,28359.85714285714,26549.64285714286
d_201,23681,201,2011-08-17,Wednesday,5,8,2011,,,0,28231.714285714286,26592.285714285714
d_202,23376,202,2011-08-18,Thursday,6,8,2011,,,0,28041.428571428572,26613.64285714286
d_203,27004,203,2011-08-19,Friday,7,8,2011,,,0,27821.428571428572,26636.785714285714
d_204,32258,204,2011-08-20,Saturday,1,8,2011,,,0,27715.0,26707.285714285714
d_205,33973,205,2011-08-21,Sunday,2,8,2011,,,0,27724.14285714286,26892.071428571428
d_206,25324,206,2011-08-22,Monday,3,8,2011,,,0,27268.85714285714,26978.821428571428
d_207,22617,207,2011-08-23,Tuesday,4,8,2011,,,0,26890.428571428572,27029.60714285714
d_208,21935,208,2011-08-24,Wednesday,5,8,2011,,,0,26641.0,27080.714285714286
d_209,21414,209,2011-08-25,Thursday,6,8,2011,,,0,26360.714285714286,27086.821428571428
d_210,24268,210,2011-08-26,Friday,7,8,2011,,,0,25969.85714285714,27077.035714285714
d_211,30383,211,2011-08-27,Saturday,1,8,2011,,,0,25702.0,27128.10714285714
d_212,30626,212,2011-08-28,Sunday,2,8,2011,,,0,25223.85714285714,27197.714285714286
d_213,22085,213,2011-08-29,Monday,3,8,2011,,,0,24761.14285714286,27036.214285714286
d_214,20350,214,2011-08-30,Tuesday,4,8,2011,,,0,24437.285714285714,26853.178571428572
d_215,21723,215,2011-08-31,Wednesday,5,8,2011,Eid al-Fitr,Religious,0,24407.0,26656.25
d_216,26299,216,2011-09-01,Thursday,6,9,2011,,,2,25104.85714285714,26748.60714285714
d_217,29208,217,2011-09-02,Friday,7,9,2011,,,2,25810.571428571428,26841.964285714286
d_218,34032,218,2011-09-03,Saturday,1,9,2011,,,3,26331.85714285714,26916.0
d_219,26925,219,2011-09-04,Sunday,2,9,2011,,,1,25803.14285714286,26734.535714285714
d_220,30158,220,2011-09-05,Monday,3,9,2011,LaborDay,National,3,26956.428571428572,26870.39285714286
d_221,26134,221,2011-09-06,Tuesday,4,9,2011,,,3,27782.714285714286,26867.571428571428
d_222,24445,222,2011-09-07,Wednesday,5,9,2011,,,2,28171.571428571428,26862.821428571428
d_223,24048,223,2011-09-08,Thursday,6,9,2011,,,2,27850.0,26839.25
d_224,28246,224,2011-09-09,Friday,7,9,2011,,,3,27712.571428571428,26828.60714285714
d_225,33030,225,2011-09-10,Saturday,1,9,2011,,,1,27569.428571428572,26829.571428571428
d_226,34632,226,2011-09-11,Sunday,2,9,2011,,,2,28670.428571428572,26855.39285714286
d_227,26138,227,2011-09-12,Monday,3,9,2011,,,2,28096.14285714286,26770.64285714286
d_228,24645,228,2011-09-13,Tuesday,4,9,2011,,,1,27883.428571428572,26748.464285714286
d_229,23505,229,2011-09-14,Wednesday,5,9,2011,,,1,27749.14285714286,26742.178571428572
d_230,26343,230,2011-09-15,Thursday,6,9,2011,,,2,28077.0,26848.14285714286
d_231,26933,231,2011-09-16,Friday,7,9,2011,,,0,27889.428571428572,26845.60714285714
d_232,32195,232,2011-09-17,Saturday,1,9,2011,,,0,27770.14285714286,26843.35714285714
d_233,32034,233,2011-09-18,Sunday,2,9,2011,,,0,27399.0,26774.10714285714
d_234,24367,234,2011-09-19,Monday,3,9,2011,,,0,27146.0,26739.928571428572
d_235,22675,235,2011-09-20,Tuesday,4,9,2011,,,0,26864.571428571428,26742.0
d_236,21796,236,2011-09-21,Wednesday,5,9,2011,,,0,26620.428571428572,26737.035714285714
d_237,21859,237,2011-09-22,Thursday,6,9,2011,,,0,25979.85714285714,26752.928571428572
d_238,26706,238,2011-09-23,Friday,7,9,2011,,,0,25947.428571428572,26840.0
d_239,32466,239,2011-09-24,Saturday,1,9,2011,,,0,25986.14285714286,26914.39285714286
d_240,33228,240,2011-09-25,Sunday,2,9,2011,,,0,26156.714285714286,27007.321428571428
d_241,24090,241,2011-09-26,Monday,3,9,2011,,,0,26117.14285714286,27078.928571428572
d_242,22788,242,2011-09-27,Tuesday,4,9,2011,,,0,26133.285714285714,27166.0
d_243,22193,243,2011-09-28,Wednesday,5,9,2011,,,0,26190.0,27182.785714285714
d_244,22383,244,2011-09-29,Thursday,6,9,2011,,,0,26264.85714285714,27042.928571428572
d_245,30182,245,2011-09-30,Friday,7,9,2011,,,0,26761.428571428572,27077.714285714286
d_246,39312,246,2011-10-01,Saturday,1,10,2011,,,2,27739.428571428572,27266.285714285714
d_247,37214,247,2011-10-02,Sunday,2,10,2011,,,2,28308.85714285714,27633.75
d_248,30455,248,2011-10-03,Monday,3,10,2011,,,3,29218.14285714286,27644.35714285714
d_249,26114,249,2011-10-04,Tuesday,4,10,2011,,,1,29693.285714285714,27643.64285714286
d_250,25913,250,2011-10-05,Wednesday,5,10,2011,,,3,30224.714285714286,27696.071428571428
d_251,26066,251,2011-10-06,Thursday,6,10,2011,,,3,30750.85714285714,27768.14285714286
d_252,29985,252,2011-10-07,Friday,7,10,2011,,,2,30722.714285714286,27830.25
d_253,35930,253,2011-10-08,Saturday,1,10,2011,,,2,30239.571428571428,27933.821428571428
d_254,35940,254,2011-10-09,Sunday,2,10,2011,,,3,30057.571428571428,27980.535714285714
d_255,29401,255,2011-10-10,Monday,3,10,2011,ColumbusDay,National,1,29907.0,28097.071428571428
d_256,27427,256,2011-10-11,Tuesday,4,10,2011,,,2,30094.571428571428,28196.428571428572
d_257,27414,257,2011-10-12,Wednesday,5,10,2011,,,2,30309.0,28336.035714285714
d_258,26116,258,2011-10-13,Thursday,6,10,2011,,,1,30316.14285714286,28327.928571428572
d_259,29885,259,2011-10-14,Friday,7,10,2011,,,1,30301.85714285714,28433.35714285714
d_260,38426,260,2011-10-15,Saturday,1,10,2011,,,2,30658.428571428572,28655.89285714286
d_261,36127,261,2011-10-16,Sunday,2,10,2011,,,0,30685.14285714286,28802.071428571428
d_262,27592,262,2011-10-17,Monday,3,10,2011,,,0,30426.714285714286,28917.25
d_263,24202,263,2011-10-18,Tuesday,4,10,2011,,,0,29966.0,28971.785714285714
d_264,22441,264,2011-10-19,Wednesday,5,10,2011,,,0,29255.571428571428,28994.821428571428
d_265,22402,265,2011-10-20,Thursday,6,10,2011,,,0,28725.0,29014.214285714286
d_266,27130,266,2011-10-21,Friday,7,10,2011,,,0,28331.428571428572,29029.35714285714
d_267,33151,267,2011-10-22,Saturday,1,10,2011,,,0,27577.85714285714,29053.821428571428
d_268,32876,268,2011-10-23,Sunday,2,10,2011,,,0,27113.428571428572,29041.25
d_269,24516,269,2011-10-24,Monday,3,10,2011,,,0,26674.0,29056.464285714286
d_270,22437,270,2011-10-25,Tuesday,4,10,2011,,,0,26421.85714285714,29043.928571428572
d_271,22142,271,2011-10-26,Wednesday,5,10,2011,,,0,26379.14285714286,29042.10714285714
d_272,22982,272,2011-10-27,Thursday,6,10,2011,,,0,26462.0,29063.5
d_273,26880,273,2011-10-28,Friday,7,10,2011,,,0,26426.285714285714,28945.571428571428
d_274,33219,274,2011-10-29,Saturday,1,10,2011,,,0,26436.0,28727.964285714286
d_275,31853,275,2011-10-30,Sunday,2,10,2011,,,0,26289.85714285714,28536.5
d_276,22695,276,2011-10-31,Monday,3,10,2011,Halloween,Cultural,0,26029.714285714286,28259.35714285714
d_277,26039,277,2011-11-01,Tuesday,4,11,2011,,,2,26544.285714285714,28256.678571428572
d_278,24808,278,2011-11-02,Wednesday,5,11,2011,,,2,26925.14285714286,28217.214285714286
d_279,27902,279,2011-11-03,Thursday,6,11,2011,,,3,27628.0,28282.785714285714
d_280,28596,280,2011-11-04,Friday,7,11,2011,,,1,27873.14285714286,28233.178571428572
d_281,36887,281,2011-11-05,Saturday,1,11,2011,,,3,28397.14285714286,28267.35714285714
d_282,37887,282,2011-11-06,Sunday,2,11,2011,,,3,29259.14285714286,28336.89285714286
d_283,27278,283,2011-11-07,Monday,3,11,2011,EidAlAdha,Religious,2,29913.85714285714,28261.071428571428
d_284,25188,284,2011-11-08,Tuesday,4,11,2011,,,2,29792.285714285714,28181.10714285714
d_285,26092,285,2011-11-09,Wednesday,5,11,2011,,,3,29975.714285714286,28133.89285714286
d_286,26147,286,2011-11-10,Thursday,6,11,2011,,,1,29725.0,28135.0
d_287,29755,287,2011-11-11,Friday,7,11,2011,VeteransDay,National,2,29890.571428571428,28130.35714285714
d_288,35922,288,2011-11-12,Saturday,1,11,2011,,,2,29752.714285714286,28040.928571428572
d_289,35348,289,2011-11-13,Sunday,2,11,2011,,,1,29390.0,28013.10714285714
d_290,26773,290,2011-11-14,Monday,3,11,2011,,,1,29317.85714285714,27983.85714285714
d_291,26701,291,2011-11-15,Tuesday,4,11,2011,,,2,29534.0,28073.10714285714
